Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,8a57013d-038f-4a1b-96b6-9a054befbb87,5813,30,Gabber,My first pick vote,1.00,5.00,0.00,7.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,27.00,14.00,8.00,0.00
,8cc552fe-f322-4200-b503-820c97cb8fd3,5813,37,logan,,1.00,3.00,0.00,8.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,17.00,17.00,8.00,0.00
,68dfc8a8-a5a0-4a7f-90b7-6ceed5c395bd,5813,44,Anton,Auto = 3. Speed = 4. Stability = 3. Can hang on chain. Can hang second on chain. Can go under the chain. ,1.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,3.00,3.00,10.00
,b6747bc0-3e64-4a3f-b7fb-f28bcf66a551,5813,48,DAB,,1.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,7.00,12.00,8.00,0.00
,a1a0ec64-53a3-4b72-8895-658f4e0f9756,5902,5,rackel,Cluncky. bad at speaker,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00
,2443a68a-f711-4118-83f6-999dbb19d035,5902,12,Joyce,,0.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,2.00,1.00,0.00
,d0a2e914-4fd9-442e-94a5-7efc12b993dd,5902,16,Gage,,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,8.00,1.00,0.00
,113eb482-6e0e-4cf9-882e-a16eddca22f0,5902,21,Chase,Accuracy = 4. Efficiency = 3. Speed = 3. Human player = 3. ,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,3.00,3.00,15.00
,fd3e53de-91c8-4278-af84-f5dc343ab9a6,5902,28,Chase,,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,3.00,3.00,0.00
,001314de-352b-4eed-a1d7-b2e0a26f4010,5902,31,Gabber,Can barely do amp and that's it,0.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00
,4ba56c9c-37bc-4e6c-be7b-15d061f9516d,5902,37,Anton,Cant go under the chain. Speed = 3. ,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,3.00,3.00,3.00
,7732dc9a-b17d-4b8c-9565-1a97559164f8,5902,45,Zander,No floor pickup,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,5.00,6.00,5.00,0.00
