Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,0108dcd9-299f-4d2a-a165-63a25d2df301,1071,11,GABE,Can't shoot so gave notes away for amplifier,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00
,0f8c71a1-0bfe-4f51-8abd-c1c2f369605e,1071,18,Jean,"I tracked the wrong bot at first. when I found the correct bot, it was playing defense. it did get fouled because it ended up in the opponent's source. it died near the end.",0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,aa5cfd90-49dc-4a61-9d20-398929156d3f,1071,26,Ash,Speed = 3. Efficiency = 2. Defense = 3. ,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,2.00,3.00,8.00
,b1a28cae-6312-4a70-96ae-020dd7189b9c,1071,40,Anton,Auto = 0. Speed = 4. Efficiency = 4. Accuracy = 5. Defense = 5. Good evasive driving. Can hang on chain. Can go under the chain. ,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,4.00,5.00,18.00
,da6745fa-dd0b-4d28-9a7f-006c1a697723,1071,46,Zander,Got a note stuck in their intake so they did okay defense. ,1.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00
,e5fc4bd2-63c0-4126-b2a0-0413d80adaef,1071,54,terri,No show,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,9df0fe90-0e06-42a5-a1bc-d67687407bf8,1071,61,GABE,,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00
,479125ce-303f-4ffb-af35-e4f2dd1705f5,1071,68,Chase,Can only score Amp. ,0.00,0.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00
,777fb14b-5b95-4669-ba00-954d882ce700,1071,74,Ash,Auto = 1. Speed = 4. Accuracy = 3. Can hang on chain. ,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,3.00,8.00
,bdebd304-6128-4fc7-901a-5c7c8da303dd,1071,88,terri,Not very good. a little defense played,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,2.00,3.00,0.00
,be9342d3-f8f6-4650-bc84-b4b8867c6bf6,1071,93,Anton,,0.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00
,18be2a88-3f00-44bb-92ee-6f87c4342510,1153,7,jen,"Fast driving, pick up floor, didn't try to hang or park",1.00,1.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,12.00,0.00,0.00
,ed1aefb1-9ef8-4bea-87a8-ed4fcbc58d3f,1153,14,terri,,1.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,6.00,1.00,0.00
,c51de0b3-2b8f-45e8-80e7-fc03c4b56fbc,1153,19,terri,,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,8.00,3.00,0.00
,45e54ce7-43e0-4db3-81f2-2a68a1ff1066,1153,27,Ash,Speed = 3. Accuracy = 2. Can only score Speaker. ,1.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,5.00
,293dc873-8b3d-4ef2-ba8a-559b537d8b3e,1153,42,Zander,They tried to go for a last second score Instead of going to the stage ,1.00,3.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,10.00,0.00,0.00
,bcc9c041-df85-4da6-b375-ab0b183b5160,1153,49,terri,also fed alliance. Can go under the chain. Can hang on chain. ,0.00,1.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,5.00,6.00,4.00,0.00
,b29080a7-4b5b-4a20-90fb-3380aefc48ed,1153,58,Nicholas,"solid shooter, just needs better pathing. hesitant on the climb",1.00,2.00,0.00,5.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,12.00,11.00,5.00,0.00
,61db7e1f-0eb5-4a86-bef0-1f589d469640,1153,67,terri,,0.00,1.00,0.00,3.00,3.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,5.00,9.00,6.00,0.00
,aa4e59c0-2f10-43b4-a6a9-96582561007d,1153,80,Nicholas,"Quick movement and shooter, but slow at amp. ",1.00,4.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,10.00,0.00,0.00
,8dc4d3ae-8fa1-4599-8a94-aae767de9df4,1153,88,Chase,,1.00,1.00,0.00,2.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,19.00,3.00,0.00
,0224054e-b03f-42dd-9aca-e0f9933f9331,1153,94,Anton,Aggressive. ,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,3.00,0.00
,7c47c033-c001-4363-8b4e-57be786f1dbe,1729,4,Chase,Auto = 3. Speed = 3. Efficiency = 4. Accuracy = 4. Stability = 5. ,1.00,1.00,0.00,1.00,5.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,22.00,3.00,26.00
,c30d16c3-b0c7-4d18-9a92-c1f6777f7439,1729,9,Nicholas,"Swerve. Can go under the chain. Did not park. switched to defence part of the way, then switched back.",1.00,3.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,12.00,0.00,0.00
,a4d6b8ad-bba0-4c50-b159-7318f5dd4c06,1729,18,zander,They're really consistent with their shots. ,1.00,1.00,0.00,4.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,13.00,3.00,0.00
,721c1dfe-43d0-4eb2-baaf-66df8c1d7f9c,1729,25,Nicholas,heavy defense against them this match. seemed like shooter was damaged as well.,1.00,2.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12.00,2.00,1.00,0.00
,5977d013-08ef-490f-a849-10e005d48377,1729,36,Nicholas,"2.5 source auto, played good defense most of the game, got free trap rp",1.00,1.00,0.00,1.00,2.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,7.00,4.00,5.00,0.00
,75bd2b3b-b25d-469f-973e-844e4b7e77be,1729,41,Joyce,I didn't pay much attention,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
